,SYMBOL
1035,E1:5ML.SI
1036,E2:5PI.SI
1037,E2:A7RU.SI
1038,E2:BN4.SI
1039,E2:C52.SI
1041,E2:N9LU.SI
1042,K3PD.SI
1043,U7A.SI
1044,5TF.SI
1045,TM9.SI
1046,E1:530.SI
1047,E1:C61U.SI
1048,E1:E90.SI
1049,E1:M62.SI
1050,E2:U0CR.SI
1051,E2:5ML.SI
1052,E2:A7S.SI
1053,E2:CL7.SI
1054,E2:I49.SI
1055,E1:N2IU.SI
1056,E1:5RF.SI
1057,E1:F2X.SI
1058,E1:GU5.SI
1059,E1:OU8.SI
1060,E1:Q0X.SI
1062,E2:D4N.SI
1065,E2:O2R.SI
1066,E2:C03.SI
1067,E2:B0Z.SI
1068,E2:541.SI
1069,E1:ND8U.SI
1071,E1:C52.SI
1072,E1:C14.SI
1073,E2:S24.SI
1074,G31.SI
1075,E2:D50.SI
1076,E2:A0G.SI
1077,E2:567.SI
1078,E2:544.SI
1079,E1:KJ9.SI
1080,E1:A0G.SI
1081,E1:B9R.SI
1084,GG0.SI
1085,E1:C09.SI
1086,E1:570.SI
1095,E1:5GC.SI
1106,E2:5RF.SI
1115,E1:S24.SI
1116,E2:5DX.SI
1125,AAJ.SI
1127,E2:5HJ.SI
1128,E1:C38U.SI
1129,E1:G92.SI
1130,E1:C07.SI
1131,E1:N9LU.SI
1135,U3N.SI
1136,DT2.SI
1137,E1:5NV.SI
1138,E1:C10.SI
1139,E1:C05.SI
1140,E1:KT4.SI
1141,E1:S7P.SI
1148,E2:J91U.SI
1149,E2:KT8U.SI
1150,FQ8.SI
1151,JA9.SI
1152,552.SI
1153,539.SI
1155,E1:BN4.SI
1157,E2:N2H.SI
1158,E2:F83.SI
1159,E2:Y34.SI
1160,I49.SI
1161,O31.SI
1162,E1:U0BR.SI
1165,5RF.SI
1166,D2U.SI
1167,E1:O2R.SI
1168,E1:5PI.SI
1169,E1:C31.SI
1170,E1:D6U.SI
1171,E1:D2U.SI
1172,E1:L17.SI
1173,E1:JA9.SI
1178,E1:CH8.SI
